Song Name,Artist Names,Artist Genre,Is Lofi?,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
distance,coffee?,[],False,0.75,0.128,1,-15.277000000000001,0,0.0552,0.9279999999999999,0.9390000000000001,0.11,0.33399999999999996,79.954,121536,4
Orange Rooph,goosetaf,"['chillhop', 'lo-fi beats']",True,0.508,0.409,5,-10.818,0,0.0634,0.878,0.764,0.147,0.233,120.7,164000,4
Puzzle Pieces,Surku,['focus beats'],False,0.772,0.384,10,-8.746,1,0.062,0.8290000000000001,0.8959999999999999,0.156,0.42,135.996,145147,4
falling leaves,Mura Kami,['lo-fi beats'],True,0.652,0.513,1,-8.326,1,0.0483,0.8490000000000001,0.873,0.099,0.457,87.991,109075,4
yashinoki,lōland,['lo-fi beats'],True,0.763,0.556,5,-6.485,0,0.0741,0.0589,0.855,0.218,0.688,160.055,144750,4
Oceans,kokoro,['lo-fi beats'],True,0.701,0.0819,0,-18.333,0,0.0431,0.946,0.943,0.10400000000000001,0.146,139.999,142286,4
Mandarin Duck,Styn,"['belgian rock', 'lo-fi beats']",True,0.722,0.324,3,-10.933,1,0.045,0.71,0.884,0.151,0.755,73.512,71854,4
Pyr,Knowmadic,"['chillhop', 'lo-fi beats']",True,0.45899999999999996,0.601,2,-7.818,1,0.212,0.937,0.42700000000000005,0.166,0.36200000000000004,75.898,156800,4
puget sound ferry,nobuddy,[],False,0.51,0.177,0,-21.028000000000002,1,0.251,0.9520000000000001,0.841,0.0991,0.537,47.923,96411,5
As if I would,vensterbank,['lo-fi cover'],False,0.444,0.27699999999999997,7,-18.382,0,0.204,0.8340000000000001,0.9490000000000001,0.11,0.366,170.085,135590,4
